Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
craftableLightsWallGooseneckYellow,blocks,block,,,Yellow Wall Gooseneck Light,Жёлтый настенный крытый фонарь
craftableLightsWallGooseneckGreen,blocks,block,,,Green Wall Gooseneck Light,Зелёный настенный крытый фонарь
craftableLightsWallGooseneckBlue,blocks,block,,,Blue Wall Gooseneck Light,Голубой настенный крытый фонарь
craftableLightsWallGooseneckPurple,blocks,block,,,Purple Wall Gooseneck Light,Фиолетовый настенный крытый фонарь
craftableLightsWallGooseneckGrey,blocks,block,,,Grey Wall Gooseneck Light,Серый настенный крытый фонарь
craftableLightsWallGooseneckBlack,blocks,block,,,Black Wall Gooseneck Light,Чёрный настенный крытый фонарь
craftableLightsWallGooseneckPink,blocks,block,,,Pink Wall Gooseneck Light,Розовый настенный крытый фонарь
craftableLightsWallGooseneckArmyGreen,blocks,block,,,Army Green Wall Gooseneck Light,Тёмно-зелёный настенный крытый фонарь
craftableLightsCeilingLight02,blocks,block,,,Ceiling Light,Потолочная лампа
craftableLightsCeilingLight02Brass,blocks,block,,,Brass Ceiling Light,Латунная потолочная лампа
craftableLightsCeilingLight02_2x2,blocks,block,,,Ceiling Light 2x2,Потолочная лампа 2х2
craftableLightsCeilingLight02Brass_2x2,blocks,block,,,Brass Ceiling Light 2x2,Латунная потолочная лампа 2х2
craftableLightsCeilingLight04,blocks,block,,,Factory Light,Заводская лампа
craftableLightsCeilingLight05,blocks,block,,,Chandelier,Люстра
craftableLightsCeilingLight05Brass,blocks,block,,,Brass Chandelier,Латунная люстра
craftableLightsRecessedLight,blocks,block,,,Recessed Light,Встраиваемый светильник
craftableLightsRecessedLight_2x2,blocks,block,,,Recessed Light 2x2,Встраиваемый светильник 2х2
craftableLightsRecessedLightOffset,blocks,block,,,Recessed Light OFFSET,Встраиваемый светильник СМЕЩЁННЫЙ
craftableLightsRecessedLight_2x2Offset,blocks,block,,,Recessed Light 2x2 OFFSET,Встраиваемый светильник 2х2 СМЕЩЁННЫЙ
craftableLightsFluorescentLight,blocks,block,,,Hanging Fluorescent Light,Подвесная флуоресцентная лампа
craftableLightsFluorescentLightBayIntact,blocks,block,,,Fluorescent Light,Флуоресцентная лампа
craftableLightsCeiling07_2x2,blocks,block,,,Ceiling Fluorescent Light 2x2,Потолочная флуоресцентная лампа 2х2
craftableLightsPanelLEDWhite,blocks,block,,,White Ceiling LED Panel,Белая потолочная LED-панель
craftableLightsPanelLEDSilver,blocks,block,,,Silver Ceiling LED Panel,Серебристая потолочная LED-панель
craftableLightsPanelLEDGrey,blocks,block,,,Grey Ceiling LED Panel,Серая потолочная LED-панель
craftableLightsPanelLEDBlack,blocks,block,,,Black Ceiling LED Panel,Чёрная потолочная LED-панель
craftableLightsPanelLEDOffsetWhite,blocks,block,,,White Offset Ceiling LED Panel,Белая смещённая потолочная LED-панель
craftableLightsPanelLEDOffsetSilver,blocks,block,,,Silver Offset Ceiling LED Panel,Серебристая смещённая потолочная LED-панель
craftableLightsPanelLEDOffsetGrey,blocks,block,,,Grey Offset Ceiling LED Panel,Серая смещённая потолочная LED-панель
craftableLightsPanelLEDOffsetBlack,blocks,block,,,Black Offset Ceiling LED Panel,Чёрная смещённая потолочная LED-панель
craftableLightsPanelLEDOffset02White,blocks,block,,,White Drop-Down Ceiling LED Panel,Белая смещённая вниз потолочная LED-панель
craftableLightsPanelLEDOffset02Silver,blocks,block,,,Silver Drop-Down Ceiling LED Panel,Серебристая смещённая вниз потолочная LED-панель
craftableLightsPanelLEDOffset02Grey,blocks,block,,,Grey Drop-Down Ceiling LED Panel,Серая смещённая вниз потолочная LED-панель
craftableLightsPanelLEDOffset02Black,blocks,block,,,Black Drop-Down Ceiling LED Panel,Чёрная смещённая вниз потолочная LED-панель
craftableLightsTrackLight,blocks,block,,,Track Lighting,Сценическое освещение
craftableLightsIndustrialRed,blocks,block,,,Red Floor Industrial Light,Красная напольная лампочка
craftableLightsIndustrialMountedWall,blocks,block,,,Wall-Mounted Industrial Light,Настенная промышленная лампочка
craftableLightsIndustrialMountedWallRed,blocks,block,,,Red Wall-Mounted Industrial Light,Настенная красная промышленная лампочка
craftableLightsIndustrialHangingWhite,blocks,block,,,White Industrial Hanging Light,Белый промышленный торшер
craftableLightsIndustrialHangingBrown,blocks,block,,,Brown Industrial Hanging Light,Коричневый промышленный торшер
craftableLightsIndustrialHangingGrey,blocks,block,,,Grey Industrial Hanging Light,Серый промышленный торшер
craftableLightsIndustrialHangingBlack,blocks,block,,,Black Industrial Hanging Light,Чёрный промышленный торшер
